title_a,url_a,words_a,title_b,url_b,words_b,cosine,simhash_hamming,problem_categories,notes
كشف تسربات المياه في شرق جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-jeddah/,1936,كشف تسربات المياه في شمال جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-jeddah/,1948,0.9955,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,0.9954,3,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ أبو عريش) بعد توحيد اسم المدينة
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,0.9954,2,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ سكاكا) بعد توحيد اسم المدينة
كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,0.9954,3,duplicate_similar,نسخة مدينة شبه مطابقة (حفر الباطن ↔ أبو عريش) بعد توحيد اسم المدينة
كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,0.9954,2,duplicate_similar,نسخة مدينة شبه مطابقة (حفر الباطن ↔ سكاكا) بعد توحيد اسم المدينة
سباك منازل بجدة,https://www.rukn-eltatawer.com/sa/home-plumber-jeddah/,1738,شركة سباك منازل بجدة,https://www.rukn-eltatawer.com/sa/home-plumber-elec-jeddah/,1741,0.9952,0,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9952,2,duplicate_similar,نسخة مدينة شبه مطابقة (عرعر ↔ الظهران) بعد توحيد اسم المدينة
كشف تسربات المياه في جنوب جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-jeddah/,1953,كشف تسربات المياه في جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah-center/,1960,0.9952,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في شرق الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-riyadh/,1978,كشف تسربات المياه في وسط الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-riyadh-center/,1948,0.9952,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
سباك منازل بالطائف,https://www.rukn-eltatawer.com/sa/home-plumber-taif/,1732,شركة سباك منازل بالطائف,https://www.rukn-eltatawer.com/sa/home-plumber-elec-taif/,1747,0.9949,0,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الطائف) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,كشف تسربات المياه في عرعر,https://www.rukn-eltatawer.com/sa/water-leak-detection-arar/,2078,0.9947,4,duplicate_similar,نسخة مدينة شبه مطابقة (الخرج ↔ عرعر) بعد توحيد اسم المدينة
كشف تسربات المياه في سكاكا,https://www.rukn-eltatawer.com/sa/water-leak-detection-sakakah/,2101,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9947,2,duplicate_similar,نسخة مدينة شبه مطابقة (سكاكا ↔ الظهران) بعد توحيد اسم المدينة
شركة كشف تسربات المياه بجدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah/,2250,كشف تسربات المياه في شمال جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-jeddah/,1948,0.9944,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في شرق جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-jeddah/,1936,كشف تسربات المياه في جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah-center/,1960,0.9942,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كهربائي منازل بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/home-electrician-medina/,1813,شركة كهربائي منازل بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/home-electrician-elec-medina/,1799,0.9938,4,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (المدينة المنورة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في رابغ | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/,2081,كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,0.9937,4,duplicate_similar,نسخة مدينة شبه مطابقة (رابغ ↔ الخرج) بعد توحيد اسم المدينة
كشف تسربات المياه في حفر الباطن | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/,2142,كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,0.9937,4,duplicate_similar,نسخة مدينة شبه مطابقة (حفر الباطن ↔ الخرج) بعد توحيد اسم المدينة
سباك منازل بالرياض,https://www.rukn-eltatawer.com/sa/home-plumber-riyadh/,1745,شركة سباك منازل بالرياض,https://www.rukn-eltatawer.com/sa/home-plumber-elec-riyadh/,1750,0.9936,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في جنوب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-riyadh/,2264,كشف تسربات المياه في شرق الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-riyadh/,1978,0.9935,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في أبو عريش | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abu-arish/,2180,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9934,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبو عريش ↔ الظهران) بعد توحيد اسم المدينة
شركة سباك منازل بأبها,https://www.rukn-eltatawer.com/sa/home-plumber-elec-abha/,1742,سباك منازل بأبها,https://www.rukn-eltatawer.com/sa/home-plumber-abha/,1728,0.9933,3,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (أبها) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في الخرج,https://www.rukn-eltatawer.com/sa/water-leak-detection-al-kharj/,2111,كشف تسربات المياه في الظهران,https://www.rukn-eltatawer.com/sa/water-leak-detection-dhahran/,2096,0.9933,4,duplicate_similar,نسخة مدينة شبه مطابقة (الخرج ↔ الظهران) بعد توحيد اسم المدينة
كشف تسربات المياه في غرب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-west-riyadh/,1962,كشف تسربات المياه في شمال الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-riyadh/,1975,0.9933,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في شمال الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-riyadh/,1975,كشف تسربات المياه في وسط الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-riyadh-center/,1948,0.9931,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في غرب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-west-riyadh/,1962,كشف تسربات المياه في شرق الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-east-riyadh/,1978,0.9928,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
شركة تنظيف أرضيات رخام وجلي رخام بأبها,https://www.rukn-eltatawer.com/sa/marble-polishing-abha/,1948,شركة تنظيف أرضيات رخام وجلي رخام بالخبر,https://www.rukn-eltatawer.com/sa/marble-polishing-khobar/,1941,0.9927,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الخبر) بعد توحيد اسم المدينة
كهربائي منازل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-electrician-mecca/,1813,شركة كهربائي منازل بمكة المكرمة,https://www.rukn-eltatawer.com/sa/home-electrician-elec-mecca/,1797,0.9927,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (مكة المكرمة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في شمال جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-jeddah/,1948,كشف تسربات المياه في جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah-center/,1960,0.9927,3,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كهربائي منازل بالطائف,https://www.rukn-eltatawer.com/sa/home-electrician-taif/,1713,شركة كهربائي منازل بالطائف,https://www.rukn-eltatawer.com/sa/home-electrician-elec-taif/,1724,0.9924,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الطائف) — صفحتان تتصارعان على نفس النية
شركة كشف تسربات المياه بجدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah/,2250,كشف تسربات المياه في جنوب جدة,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-jeddah/,1953,0.9922,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (جدة) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في جنوب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-riyadh/,2264,كشف تسربات المياه في وسط الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-riyadh-center/,1948,0.9921,3,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
كشف تسربات المياه في غرب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-west-riyadh/,1962,كشف تسربات المياه في وسط الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-riyadh-center/,1948,0.9921,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
شركة تركيب وصيانة مضخات مياه وصرف صحي بأبها,https://www.rukn-eltatawer.com/sa/water-pumps-abha/,1952,شركة تركيب وصيانة مضخات مياه وصرف صحي بالدمام,https://www.rukn-eltatawer.com/sa/water-pumps-dammam/,1956,0.992,2,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الدمام) بعد توحيد اسم المدينة
كهربائي منازل بأبها,https://www.rukn-eltatawer.com/sa/home-electrician-abha/,1705,شركة كهربائي منازل بأبها,https://www.rukn-eltatawer.com/sa/home-electrician-elec-abha/,1720,0.9918,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (أبها) — صفحتان تتصارعان على نفس النية
كهربائي منازل بالخبر,https://www.rukn-eltatawer.com/sa/home-electrician-khobar/,1701,شركة كهربائي منازل بالخبر,https://www.rukn-eltatawer.com/sa/home-electrician-elec-khobar/,1709,0.9918,3,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الخبر) — صفحتان تتصارعان على نفس النية
شركة تركيب وصيانة مضخات مياه وصرف صحي بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/water-pumps-medina/,2078,شركة تركيب وصيانة مضخات مياه وصرف صحي بمكة المكرمة,https://www.rukn-eltatawer.com/sa/water-pumps-mecca/,2041,0.9918,4,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ مكة المكرمة) بعد توحيد اسم المدينة
كشف تسربات المياه في جنوب الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-south-riyadh/,2264,كشف تسربات المياه في شمال الرياض,https://www.rukn-eltatawer.com/sa/water-leak-detection-north-riyadh/,1975,0.9916,2,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
شركة فحص فلل ومباني قبل الشراء بالدمام,https://www.rukn-eltatawer.com/sa/villa-inspection-dammam/,1891,شركة فحص فلل ومباني قبل الشراء بمكة المكرمة,https://www.rukn-eltatawer.com/sa/villa-inspection-mecca/,1972,0.9915,3,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بالطائف,https://www.rukn-eltatawer.com/sa/marble-polishing-taif/,1965,شركة تنظيف أرضيات رخام وجلي رخام بالدمام,https://www.rukn-eltatawer.com/sa/marble-polishing-dammam/,1951,0.9915,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الدمام) بعد توحيد اسم المدينة
شركة فحص فلل ومباني قبل الشراء بالدمام,https://www.rukn-eltatawer.com/sa/villa-inspection-dammam/,1891,شركة فحص فلل ومباني قبل الشراء بأبها,https://www.rukn-eltatawer.com/sa/villa-inspection-abha/,1905,0.9914,0,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ أبها) بعد توحيد اسم المدينة
شركة فحص فلل ومباني قبل الشراء بجدة,https://www.rukn-eltatawer.com/sa/villa-inspection-jeddah/,1898,شركة فحص فلل ومباني قبل الشراء بالطائف,https://www.rukn-eltatawer.com/sa/villa-inspection-taif/,1915,0.9914,4,duplicate_similar,نسخة مدينة شبه مطابقة (جدة ↔ الطائف) بعد توحيد اسم المدينة
شركة فحص فلل ومباني قبل الشراء بالطائف,https://www.rukn-eltatawer.com/sa/villa-inspection-taif/,1915,شركة فحص فلل ومباني قبل الشراء بالرياض,https://www.rukn-eltatawer.com/sa/villa-inspection-riyadh/,1901,0.9913,5,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب وصيانة شفاطات مطابخ بالطائف,https://www.rukn-eltatawer.com/sa/kitchen-hoods-taif/,1833,شركة تركيب وصيانة شفاطات مطابخ بالرياض,https://www.rukn-eltatawer.com/sa/kitchen-hoods-riyadh/,1840,0.9913,0,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الرياض) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بأبها,https://www.rukn-eltatawer.com/sa/marble-polishing-abha/,1948,شركة تنظيف أرضيات رخام وجلي رخام بالدمام,https://www.rukn-eltatawer.com/sa/marble-polishing-dammam/,1951,0.9913,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الدمام) بعد توحيد اسم المدينة
شركة تأسيس كهرباء وسباكة لمبنى جديد بأبها,https://www.rukn-eltatawer.com/sa/new-building-electrical-plumbing-abha/,1925,شركة تأسيس كهرباء وسباكة لمبنى جديد بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/new-building-electrical-plumbing-medina/,2008,0.9912,6,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ المدينة المنورة) بعد توحيد اسم المدينة
شركة تركيب أجهزة تكييف طاقة شمسية بالخبر,https://www.rukn-eltatawer.com/sa/solar-ac-installation-khobar/,1949,شركة تركيب أجهزة تكييف طاقة شمسية بمكة المكرمة,https://www.rukn-eltatawer.com/sa/solar-ac-installation-mecca/,2013,0.9912,1,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ مكة المكرمة) بعد توحيد اسم المدينة
كهربائي منازل بالرياض,https://www.rukn-eltatawer.com/sa/home-electrician-riyadh/,1722,شركة كهربائي منازل بالرياض,https://www.rukn-eltatawer.com/sa/home-electrician-elec-riyadh/,1741,0.9912,1,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (الرياض) — صفحتان تتصارعان على نفس النية
شركة كشف تسربات المياه بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/water-leak-detection-medina/,2351,كشف تسربات المياه في المدينة المنورة,https://www.rukn-eltatawer.com/sa/water-leak-detection-madinah/,2042,0.9912,3,duplicate_similar,تعارض كلمات مفتاحية داخل نفس المدينة (المدينة المنورة) — صفحتان تتصارعان على نفس النية
شركة تركيب وصيانة فلاتر مياه بمكة المكرمة,https://www.rukn-eltatawer.com/sa/water-filters-mecca/,1918,شركة تركيب وصيانة فلاتر مياه بأبها,https://www.rukn-eltatawer.com/sa/water-filters-abha/,1842,0.9911,1,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ أبها) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بأبها,https://www.rukn-eltatawer.com/sa/marble-polishing-abha/,1948,شركة تنظيف أرضيات رخام وجلي رخام بالطائف,https://www.rukn-eltatawer.com/sa/marble-polishing-taif/,1965,0.9911,3,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الطائف) بعد توحيد اسم المدينة
شركة تركيب إنارة داخلية وخارجية بأبها,https://www.rukn-eltatawer.com/sa/indoor-outdoor-lighting-installation-abha/,1834,شركة تركيب إنارة داخلية وخارجية بالدمام,https://www.rukn-eltatawer.com/sa/indoor-outdoor-lighting-installation-dammam/,1854,0.9911,2,duplicate_similar,نسخة مدينة شبه مطابقة (أبها ↔ الدمام) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بالخبر,https://www.rukn-eltatawer.com/sa/marble-polishing-khobar/,1941,شركة تنظيف أرضيات رخام وجلي رخام بجدة,https://www.rukn-eltatawer.com/sa/marble-polishing-jeddah/,1943,0.9911,4,duplicate_similar,نسخة مدينة شبه مطابقة (الخبر ↔ جدة) بعد توحيد اسم المدينة
كشف تسربات المياه في القطيف,https://www.rukn-eltatawer.com/sa/water-leak-detection-qatif/,1877,كشف تسربات المياه في جازان,https://www.rukn-eltatawer.com/sa/water-leak-detection-jazan/,1879,0.9911,3,duplicate_similar,نسخة مدينة شبه مطابقة (القطيف ↔ جازان) بعد توحيد اسم المدينة
كشف تسربات المياه في حائل,https://www.rukn-eltatawer.com/sa/water-leak-detection-hail/,1895,كشف تسربات المياه في تبوك,https://www.rukn-eltatawer.com/sa/water-leak-detection-tabuk/,1881,0.9911,4,duplicate_similar,نسخة مدينة شبه مطابقة (حائل ↔ تبوك) بعد توحيد اسم المدينة
شركة تركيب وصيانة أجهزة تبريد مياه الخزانات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/tank-water-chiller-mecca/,2110,شركة تركيب وصيانة أجهزة تبريد مياه الخزانات بجدة,https://www.rukn-eltatawer.com/sa/tank-water-chiller-jeddah/,2026,0.991,4,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ جدة) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بالطائف,https://www.rukn-eltatawer.com/sa/marble-polishing-taif/,1965,شركة تنظيف أرضيات رخام وجلي رخام بمكة المكرمة,https://www.rukn-eltatawer.com/sa/marble-polishing-mecca/,1995,0.991,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة مكافحة النمل الأبيض (الرمة) بالطائف,https://www.rukn-eltatawer.com/sa/termite-control-taif/,1843,شركة مكافحة النمل الأبيض (الرمة) بالرياض,https://www.rukn-eltatawer.com/sa/termite-control-riyadh/,1857,0.9909,3,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الرياض) بعد توحيد اسم المدينة
شركة تركيب شبك طارد للحمام بالدمام,https://www.rukn-eltatawer.com/sa/pigeon-net-installation-dammam/,1833,شركة تركيب شبك طارد للحمام بأبها,https://www.rukn-eltatawer.com/sa/pigeon-net-installation-abha/,1831,0.9908,4,duplicate_similar,نسخة مدينة شبه مطابقة (الدمام ↔ أبها) بعد توحيد اسم المدينة
شركة تركيب وصيانة أجهزة تبريد مياه الخزانات بالمدينة المنورة,https://www.rukn-eltatawer.com/sa/tank-water-chiller-medina/,2115,شركة تركيب وصيانة أجهزة تبريد مياه الخزانات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/tank-water-chiller-mecca/,2110,0.9908,4,duplicate_similar,نسخة مدينة شبه مطابقة (المدينة المنورة ↔ مكة المكرمة) بعد توحيد اسم المدينة
شركة فحص فلل ومباني قبل الشراء بمكة المكرمة,https://www.rukn-eltatawer.com/sa/villa-inspection-mecca/,1972,شركة فحص فلل ومباني قبل الشراء بأبها,https://www.rukn-eltatawer.com/sa/villa-inspection-abha/,1905,0.9908,3,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ أبها) بعد توحيد اسم المدينة
شركة تنظيف كراجات ومواقف سيارات بمكة المكرمة,https://www.rukn-eltatawer.com/sa/garage-cleaning-mecca/,1955,شركة تنظيف كراجات ومواقف سيارات بالرياض,https://www.rukn-eltatawer.com/sa/garage-cleaning-riyadh/,1897,0.9908,3,duplicate_similar,نسخة مدينة شبه مطابقة (مكة المكرمة ↔ الرياض) بعد توحيد اسم المدينة
شركة تنظيف أرضيات رخام وجلي رخام بالطائف,https://www.rukn-eltatawer.com/sa/marble-polishing-taif/,1965,شركة تنظيف أرضيات رخام وجلي رخام بالخبر,https://www.rukn-eltatawer.com/sa/marble-polishing-khobar/,1941,0.9908,2,duplicate_similar,نسخة مدينة شبه مطابقة (الطائف ↔ الخبر) بعد توحيد اسم المدينة
