cluster_size,sample_titles,urls,problem_categories,notes
68,شركة كشف تسربات المياه بأبها | شركة كشف تسربات المياه بالطائف | شركة كشف تسربات المياه بالخبر | شركة كشف تسربات المياه بالدمام | شركة كشف تسربات المياه بالمدينة المنورة | شركة كشف تسربات المياه بمكة المكرمة | شركة كشف تسربات المياه بجدة | كشف تسربات المياه في شرورة | شركة ركن التطور,https://www.rukn-eltatawer.com/sa/water-leak-detection-abha/ https://www.rukn-eltatawer.com/sa/water-leak-detection-taif/ https://www.rukn-eltatawer.com/sa/water-leak-detection-khobar/ https://www.rukn-eltatawer.com/sa/water-leak-detection-dammam/ https://www.rukn-eltatawer.com/sa/water-leak-detection-medina/ https://www.rukn-eltatawer.com/sa/water-leak-detection-mecca/ https://www.rukn-eltatawer.com/sa/water-leak-detection-jeddah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-sharurah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-umluj/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-mandaq/ https://www.rukn-eltatawer.com/sa/water-leak-detection-samtah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-an-nuayriyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-tanuma/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-namas/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-bukayriyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-ar-rass/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-makhwah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-baljurashi/ https://www.rukn-eltatawer.com/sa/water-leak-detection-tathlith/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-hinakiyah/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-mahd/ https://www.rukn-eltatawer.com/sa/water-leak-detection-alula/ https://www.rukn-eltatawer.com/sa/water-leak-detection-badr/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-jumum/ https://www.rukn-eltatawer.com/sa/water-leak-detection-rabigh/ https://www.rukn-eltatawer.com/sa/water-leak-detection-hafar-al-batin/ https://www.rukn-eltatawer.com/sa/water-leak-detection-duba/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-wajh/ https://www.rukn-eltatawer.com/sa/water-leak-detection-al-qurayyat/ https://www.rukn-eltatawer.com/sa/water-leak-detection-turaif/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,شركة دهان شقق بالدمام | شركة دهان شقق بالمدينة المنورة | شركة دهان شقق بمكة المكرمة | شركة دهان شقق بأبها | شركة دهان شقق بالطائف | شركة دهان شقق بجدة | شركة دهان شقق بالخبر | شركة دهان شقق بالرياض,https://www.rukn-eltatawer.com/sa/apartment-painting-dammam/ https://www.rukn-eltatawer.com/sa/apartment-painting-medina/ https://www.rukn-eltatawer.com/sa/apartment-painting-mecca/ https://www.rukn-eltatawer.com/sa/apartment-painting-abha/ https://www.rukn-eltatawer.com/sa/apartment-painting-taif/ https://www.rukn-eltatawer.com/sa/apartment-painting-jeddah/ https://www.rukn-eltatawer.com/sa/apartment-painting-khobar/ https://www.rukn-eltatawer.com/sa/apartment-painting-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,شركة تركيب وصيانة محطات تحلية المياه بمكة المكرمة | شركة تركيب وصيانة محطات تحلية المياه بالدمام | شركة تركيب وصيانة محطات تحلية المياه بالمدينة المنورة | شركة تركيب وصيانة محطات تحلية المياه بأبها | شركة تركيب وصيانة محطات تحلية المياه بالطائف | شركة تركيب وصيانة محطات تحلية المياه بجدة | شركة تركيب وصيانة محطات تحلية المياه بالخبر | شركة تركيب وصيانة محطات تحلية المياه بالرياض,https://www.rukn-eltatawer.com/sa/ro-plants-mecca/ https://www.rukn-eltatawer.com/sa/ro-plants-dammam/ https://www.rukn-eltatawer.com/sa/ro-plants-medina/ https://www.rukn-eltatawer.com/sa/ro-plants-abha/ https://www.rukn-eltatawer.com/sa/ro-plants-taif/ https://www.rukn-eltatawer.com/sa/ro-plants-jeddah/ https://www.rukn-eltatawer.com/sa/ro-plants-khobar/ https://www.rukn-eltatawer.com/sa/ro-plants-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,حداد أبواب ونوافذ بالدمام | حداد أبواب ونوافذ بالمدينة المنورة | حداد أبواب ونوافذ بمكة المكرمة | حداد أبواب ونوافذ بجدة | حداد أبواب ونوافذ بأبها | حداد أبواب ونوافذ بالطائف | حداد أبواب ونوافذ بالخبر | حداد أبواب ونوافذ بالرياض,https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-dammam/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-medina/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-mecca/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-jeddah/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-abha/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-taif/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-khobar/ https://www.rukn-eltatawer.com/sa/blacksmith-doors-windows-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,نجار أثاث بالمدينة المنورة | نجار أثاث بمكة المكرمة | نجار أثاث بجدة | نجار أثاث بأبها | نجار أثاث بالطائف | نجار أثاث بالخبر | نجار أثاث بالدمام | نجار أثاث بالرياض,https://www.rukn-eltatawer.com/sa/carpenter-medina/ https://www.rukn-eltatawer.com/sa/carpenter-mecca/ https://www.rukn-eltatawer.com/sa/carpenter-jeddah/ https://www.rukn-eltatawer.com/sa/carpenter-abha/ https://www.rukn-eltatawer.com/sa/carpenter-taif/ https://www.rukn-eltatawer.com/sa/carpenter-khobar/ https://www.rukn-eltatawer.com/sa/carpenter-dammam/ https://www.rukn-eltatawer.com/sa/carpenter-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,فني تركيب دش بالمدينة المنورة | فني تركيب دش بمكة المكرمة | فني تركيب دش بجدة | فني تركيب دش بأبها | فني تركيب دش بالطائف | فني تركيب دش بالخبر | فني تركيب دش بالدمام | فني تركيب دش بالرياض,https://www.rukn-eltatawer.com/sa/sat-dish-tech-medina/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-mecca/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-jeddah/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-abha/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-taif/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-khobar/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-dammam/ https://www.rukn-eltatawer.com/sa/sat-dish-tech-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,فني تركيب أقمار صناعية بالمدينة المنورة | فني تركيب أقمار صناعية بمكة المكرمة | فني تركيب أقمار صناعية بجدة | فني تركيب أقمار صناعية بأبها | فني تركيب أقمار صناعية بالطائف | فني تركيب أقمار صناعية بالخبر | فني تركيب أقمار صناعية بالدمام | فني تركيب أقمار صناعية بالرياض,https://www.rukn-eltatawer.com/sa/satellite-tech-medina/ https://www.rukn-eltatawer.com/sa/satellite-tech-mecca/ https://www.rukn-eltatawer.com/sa/satellite-tech-jeddah/ https://www.rukn-eltatawer.com/sa/satellite-tech-abha/ https://www.rukn-eltatawer.com/sa/satellite-tech-taif/ https://www.rukn-eltatawer.com/sa/satellite-tech-khobar/ https://www.rukn-eltatawer.com/sa/satellite-tech-dammam/ https://www.rukn-eltatawer.com/sa/satellite-tech-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,فني أنظمة صوت منزلية بالمدينة المنورة | فني أنظمة صوت منزلية بمكة المكرمة | فني أنظمة صوت منزلية بجدة | فني أنظمة صوت منزلية بأبها | فني أنظمة صوت منزلية بالطائف | فني أنظمة صوت منزلية بالخبر | فني أنظمة صوت منزلية بالدمام | فني أنظمة صوت منزلية بالرياض,https://www.rukn-eltatawer.com/sa/home-audio-tech-medina/ https://www.rukn-eltatawer.com/sa/home-audio-tech-mecca/ https://www.rukn-eltatawer.com/sa/home-audio-tech-jeddah/ https://www.rukn-eltatawer.com/sa/home-audio-tech-abha/ https://www.rukn-eltatawer.com/sa/home-audio-tech-taif/ https://www.rukn-eltatawer.com/sa/home-audio-tech-khobar/ https://www.rukn-eltatawer.com/sa/home-audio-tech-dammam/ https://www.rukn-eltatawer.com/sa/home-audio-tech-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,عامل دهانات بالمدينة المنورة | عامل دهانات بمكة المكرمة | عامل دهانات بجدة | عامل دهانات بأبها | عامل دهانات بالطائف | عامل دهانات بالخبر | عامل دهانات بالدمام | عامل دهانات بالرياض,https://www.rukn-eltatawer.com/sa/painter-medina/ https://www.rukn-eltatawer.com/sa/painter-mecca/ https://www.rukn-eltatawer.com/sa/painter-jeddah/ https://www.rukn-eltatawer.com/sa/painter-abha/ https://www.rukn-eltatawer.com/sa/painter-taif/ https://www.rukn-eltatawer.com/sa/painter-khobar/ https://www.rukn-eltatawer.com/sa/painter-dammam/ https://www.rukn-eltatawer.com/sa/painter-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,شركة نقل وتركيب مكيفات بالدمام | شركة نقل وتركيب مكيفات بالمدينة المنورة | شركة نقل وتركيب مكيفات بمكة المكرمة | شركة نقل وتركيب مكيفات بجدة | شركة نقل وتركيب مكيفات بأبها | شركة نقل وتركيب مكيفات بالطائف | شركة نقل وتركيب مكيفات بالخبر | شركة نقل وتركيب مكيفات بالرياض,https://www.rukn-eltatawer.com/sa/ac-relocation-installation-dammam/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-medina/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-mecca/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-jeddah/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-abha/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-taif/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-khobar/ https://www.rukn-eltatawer.com/sa/ac-relocation-installation-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
8,شركة نقل بيانو بالدمام | شركة نقل بيانو بالمدينة المنورة | شركة نقل بيانو بمكة المكرمة | شركة نقل بيانو بجدة | شركة نقل بيانو بأبها | شركة نقل بيانو بالطائف | شركة نقل بيانو بالخبر | شركة نقل بيانو بالرياض,https://www.rukn-eltatawer.com/sa/piano-moving-dammam/ https://www.rukn-eltatawer.com/sa/piano-moving-medina/ https://www.rukn-eltatawer.com/sa/piano-moving-mecca/ https://www.rukn-eltatawer.com/sa/piano-moving-jeddah/ https://www.rukn-eltatawer.com/sa/piano-moving-abha/ https://www.rukn-eltatawer.com/sa/piano-moving-taif/ https://www.rukn-eltatawer.com/sa/piano-moving-khobar/ https://www.rukn-eltatawer.com/sa/piano-moving-riyadh/,duplicate_similar,مجموعة مقالات شبه متطابقة في الصياغة
