id,severity,area,url,issue
T43,medium,seo,Polylang browser=true,قد يحوّل الزائر إلى /en/ فيجد محتوى عربي
T44,medium,seo,Rank Math,1699 درجة 0 و1641 مقالاً يتيماً
T45,medium,schema,hasMap,ترميز &amp; مزدوج داخل JSON-LD
T46,medium,identity,emails,admin@ في الإعدادات مقابل m@ في السكيما
T47,medium,identity,site_logo,site_logo=null وملف الشعار باسم أرقام عربية ٠٠٠.webp
T48,medium,template,EZ-TOC,كلمة Toggle الإنجليزية داخل محتويات المقال
T49,medium,template,CSS,text-transform:capitalize على input يكسر العربية
T50,medium,template,CSS typos,shadwo / defualt / categoet / uitrans في القالب
T51,medium,template,textdomain,KAYAN 1.4.2 ما زال yourcolor
T52,medium,template,nav.menu,عنصر nav.menu فارغ في HTML الصفحات الداخلية
T53,medium,content,ac-cleaning-washing-jeddah,FAQ عن رخام وخشب في صفحة غسيل مكيفات
T54,medium,content,car-shipping-riyadh,FAQ يسأل هل الخدمة للشقق والفلل في شحن سيارات
T55,medium,content,posts without city,95 مقالاً بلا تصنيف مدينة منها تنظيف الرياض
T56,medium,content,duplicate titles,19 عنواناً مكرراً (تنظيف/عشب)
T57,medium,content,images,صور 2020-2021 وملفات *-ae* من النسخة الإماراتية
T58,medium,trust,widget rating,ودجت 98.7% و5 نجوم ثابت بدون CPT تقييمات
T59,medium,config,dump-keys REST,المسار /wp-json/rukn/v1/dump-keys عام بدون مصادقة
T60,medium,config,comments,default_comment_status=open مع صفر تعليقات
T61,medium,config,show_on_front,posts وpage_on_front=0 رغم هوم مخصّص
T62,medium,config,snippets,ترقيع NAP/robots/schema نشط لكنه لا يصلح المصدر
T63,low,a11y,headers,لا CSP ولا X-Frame-Options ولا X-Content-Type-Options
T64,low,i18n,en/category/service-en/,تصنيف إنجليزي H1 عربي «الخدمات»
T65,low,homepage,partners,تكرار اسم Weber في الشريط
T66,low,footer,copy,نص فوتر عام بإيموجي على كل الأرشيفات
T67,low,social,youtube handle,اسم القناة @rukn-eltatawer.com1 غير احترافي
T68,content,inventory,CSV vs WP,328 مقال CSV ناقص (سيارات/قانونية/معاملات — لا تُنشر) و423 إضافياً قالبياً
T69,content,geo,10 promised cities,الجبيل الأحساء القطيف تبوك خميس مشيط بريدة حائل جازان نجران ينبع شبه فارغة
T70,content,en stubs,3 EN posts,ثلاث مقالات إنجليزية فقط ودرجة سيو 0
