source,destination,type,status,id_from,id_to,from_title,to_title,from_slug,to_slug,reason
/sa/gypsum-board-decor-taif/,https://www.rukn-eltatawer.com/sa/gypsum-board-taif/,301,active,12886,12158,شركة ديكورات جبس بورد بالطائف,شركة تركيب جبس بورد بالطائف,gypsum-board-decor-taif,gypsum-board-taif,intra-city cannibal; keep gypsum-board-taif
/sa/gypsum-board-decor-abha/,https://www.rukn-eltatawer.com/sa/gypsum-board-abha/,301,active,12887,12159,شركة ديكورات جبس بورد بأبها,شركة تركيب جبس بورد بأبها,gypsum-board-decor-abha,gypsum-board-abha,intra-city cannibal; keep gypsum-board-abha
/sa/gypsum-tech-abha/,https://www.rukn-eltatawer.com/sa/gypsum-board-abha/,301,active,12735,12159,فني جبس بورد بأبها,شركة تركيب جبس بورد بأبها,gypsum-tech-abha,gypsum-board-abha,intra-city cannibal; keep gypsum-board-abha
/sa/gypsum-tech-khobar/,https://www.rukn-eltatawer.com/sa/gypsum-board-khobar/,301,active,12733,12157,فني جبس بورد بالخبر,شركة تركيب جبس بورد بالخبر,gypsum-tech-khobar,gypsum-board-khobar,intra-city cannibal; keep gypsum-board-khobar
/sa/gypsum-board-decor-khobar/,https://www.rukn-eltatawer.com/sa/gypsum-board-khobar/,301,active,12885,12157,شركة ديكورات جبس بورد بالخبر,شركة تركيب جبس بورد بالخبر,gypsum-board-decor-khobar,gypsum-board-khobar,intra-city cannibal; keep gypsum-board-khobar
/sa/gypsum-tech-riyadh/,https://www.rukn-eltatawer.com/sa/gypsum-board-riyadh/,301,active,12728,12152,فني جبس بورد بالرياض,شركة تركيب جبس بورد بالرياض,gypsum-tech-riyadh,gypsum-board-riyadh,intra-city cannibal; keep gypsum-board-riyadh
/sa/gypsum-board-decor-riyadh/,https://www.rukn-eltatawer.com/sa/gypsum-board-riyadh/,301,active,12880,12152,شركة ديكورات جبس بورد بالرياض,شركة تركيب جبس بورد بالرياض,gypsum-board-decor-riyadh,gypsum-board-riyadh,intra-city cannibal; keep gypsum-board-riyadh
/sa/gypsum-tech-dammam/,https://www.rukn-eltatawer.com/sa/gypsum-board-dammam/,301,active,12732,12156,فني جبس بورد بالدمام,شركة تركيب جبس بورد بالدمام,gypsum-tech-dammam,gypsum-board-dammam,intra-city cannibal; keep gypsum-board-dammam
/sa/gypsum-board-decor-dammam/,https://www.rukn-eltatawer.com/sa/gypsum-board-dammam/,301,active,12884,12156,شركة ديكورات جبس بورد بالدمام,شركة تركيب جبس بورد بالدمام,gypsum-board-decor-dammam,gypsum-board-dammam,intra-city cannibal; keep gypsum-board-dammam
/sa/gypsum-tech-medina/,https://www.rukn-eltatawer.com/sa/gypsum-board-medina/,301,active,12731,12155,فني جبس بورد بالمدينة المنورة,شركة تركيب جبس بورد بالمدينة المنورة,gypsum-tech-medina,gypsum-board-medina,intra-city cannibal; keep gypsum-board-medina
/sa/gypsum-board-decor-medina/,https://www.rukn-eltatawer.com/sa/gypsum-board-medina/,301,active,12883,12155,شركة ديكورات جبس بورد بالمدينة المنورة,شركة تركيب جبس بورد بالمدينة المنورة,gypsum-board-decor-medina,gypsum-board-medina,intra-city cannibal; keep gypsum-board-medina
/sa/home-electrician-elec-jeddah/,https://www.rukn-eltatawer.com/sa/home-electrician-jeddah/,301,active,12961,12697,شركة كهربائي منازل بجدة,كهربائي منازل بجدة,home-electrician-elec-jeddah,home-electrician-jeddah,intra-city cannibal; keep home-electrician-jeddah
/sa/home-plumber-elec-mecca/,https://www.rukn-eltatawer.com/sa/home-plumber-mecca/,301,active,13002,12690,شركة سباك منازل بمكة المكرمة,سباك منازل بمكة المكرمة,home-plumber-elec-mecca,home-plumber-mecca,intra-city cannibal; keep home-plumber-mecca
/sa/home-plumber-elec-jeddah/,https://www.rukn-eltatawer.com/sa/home-plumber-jeddah/,301,active,13001,12689,شركة سباك منازل بجدة,سباك منازل بجدة,home-plumber-elec-jeddah,home-plumber-jeddah,intra-city cannibal; keep home-plumber-jeddah
/sa/home-plumber-elec-taif/,https://www.rukn-eltatawer.com/sa/home-plumber-taif/,301,active,13006,12694,شركة سباك منازل بالطائف,سباك منازل بالطائف,home-plumber-elec-taif,home-plumber-taif,intra-city cannibal; keep home-plumber-taif
/sa/home-electrician-elec-medina/,https://www.rukn-eltatawer.com/sa/home-electrician-medina/,301,active,12963,12699,شركة كهربائي منازل بالمدينة المنورة,كهربائي منازل بالمدينة المنورة,home-electrician-elec-medina,home-electrician-medina,intra-city cannibal; keep home-electrician-medina
/sa/home-plumber-elec-riyadh/,https://www.rukn-eltatawer.com/sa/home-plumber-riyadh/,301,active,13000,12688,شركة سباك منازل بالرياض,سباك منازل بالرياض,home-plumber-elec-riyadh,home-plumber-riyadh,intra-city cannibal; keep home-plumber-riyadh
/sa/home-plumber-elec-abha/,https://www.rukn-eltatawer.com/sa/home-plumber-abha/,301,active,13007,12695,شركة سباك منازل بأبها,سباك منازل بأبها,home-plumber-elec-abha,home-plumber-abha,intra-city cannibal; keep home-plumber-abha
/sa/home-electrician-elec-mecca/,https://www.rukn-eltatawer.com/sa/home-electrician-mecca/,301,active,12962,12698,شركة كهربائي منازل بمكة المكرمة,كهربائي منازل بمكة المكرمة,home-electrician-elec-mecca,home-electrician-mecca,intra-city cannibal; keep home-electrician-mecca
/sa/home-electrician-elec-taif/,https://www.rukn-eltatawer.com/sa/home-electrician-taif/,301,active,12966,12702,شركة كهربائي منازل بالطائف,كهربائي منازل بالطائف,home-electrician-elec-taif,home-electrician-taif,intra-city cannibal; keep home-electrician-taif
/sa/home-electrician-elec-abha/,https://www.rukn-eltatawer.com/sa/home-electrician-abha/,301,active,12967,12703,شركة كهربائي منازل بأبها,كهربائي منازل بأبها,home-electrician-elec-abha,home-electrician-abha,intra-city cannibal; keep home-electrician-abha
/sa/home-electrician-elec-khobar/,https://www.rukn-eltatawer.com/sa/home-electrician-khobar/,301,active,12965,12701,شركة كهربائي منازل بالخبر,كهربائي منازل بالخبر,home-electrician-elec-khobar,home-electrician-khobar,intra-city cannibal; keep home-electrician-khobar
/sa/home-electrician-elec-riyadh/,https://www.rukn-eltatawer.com/sa/home-electrician-riyadh/,301,active,12960,12696,شركة كهربائي منازل بالرياض,كهربائي منازل بالرياض,home-electrician-elec-riyadh,home-electrician-riyadh,intra-city cannibal; keep home-electrician-riyadh
/sa/water-leak-detection-madinah/,https://www.rukn-eltatawer.com/sa/water-leak-detection-medina/,301,active,9289,11373,كشف تسربات المياه في المدينة المنورة,شركة كشف تسربات المياه بالمدينة المنورة,water-leak-detection-madinah,water-leak-detection-medina,intra-city cannibal; keep water-leak-detection-medina
/sa/home-electrician-elec-dammam/,https://www.rukn-eltatawer.com/sa/home-electrician-dammam/,301,active,12964,12700,شركة كهربائي منازل بالدمام,كهربائي منازل بالدمام,home-electrician-elec-dammam,home-electrician-dammam,intra-city cannibal; keep home-electrician-dammam
/sa/home-plumber-elec-khobar/,https://www.rukn-eltatawer.com/sa/home-plumber-khobar/,301,active,13005,12693,شركة سباك منازل بالخبر,سباك منازل بالخبر,home-plumber-elec-khobar,home-plumber-khobar,intra-city cannibal; keep home-plumber-khobar
/sa/home-plumber-elec-dammam/,https://www.rukn-eltatawer.com/sa/home-plumber-dammam/,301,active,13004,12692,شركة سباك منازل بالدمام,سباك منازل بالدمام,home-plumber-elec-dammam,home-plumber-dammam,intra-city cannibal; keep home-plumber-dammam
/sa/home-plumber-elec-medina/,https://www.rukn-eltatawer.com/sa/home-plumber-medina/,301,active,13003,12691,شركة سباك منازل بالمدينة المنورة,سباك منازل بالمدينة المنورة,home-plumber-elec-medina,home-plumber-medina,intra-city cannibal; keep home-plumber-medina
/sa/artificial-grass-grdn-medina/,https://www.rukn-eltatawer.com/sa/wall-grass-medina/,301,active,12395,12403,شركة تركيب عشب صناعي بالمدينة المنورة,شركة تركيب عشب جداري بالمدينة المنورة,artificial-grass-grdn-medina,wall-grass-medina,intra-city cannibal; keep wall-grass-medina
/sa/artificial-grass-grdn-khobar/,https://www.rukn-eltatawer.com/sa/wall-grass-khobar/,301,active,12397,12405,شركة تركيب عشب صناعي بالخبر,شركة تركيب عشب جداري بالخبر,artificial-grass-grdn-khobar,wall-grass-khobar,intra-city cannibal; keep wall-grass-khobar
/sa/artificial-grass-grdn-mecca/,https://www.rukn-eltatawer.com/sa/wall-grass-mecca/,301,active,12394,12402,شركة تركيب عشب صناعي بمكة المكرمة,شركة تركيب عشب جداري بمكة المكرمة,artificial-grass-grdn-mecca,wall-grass-mecca,intra-city cannibal; keep wall-grass-mecca
/sa/artificial-grass-grdn-abha/,https://www.rukn-eltatawer.com/sa/wall-grass-abha/,301,active,12399,12407,شركة تركيب عشب صناعي بأبها,شركة تركيب عشب جداري بأبها,artificial-grass-grdn-abha,wall-grass-abha,intra-city cannibal; keep wall-grass-abha
/sa/artificial-grass-grdn-taif/,https://www.rukn-eltatawer.com/sa/wall-grass-taif/,301,active,12398,12406,شركة تركيب عشب صناعي بالطائف,شركة تركيب عشب جداري بالطائف,artificial-grass-grdn-taif,wall-grass-taif,intra-city cannibal; keep wall-grass-taif
/sa/artificial-grass-grdn-jeddah/,https://www.rukn-eltatawer.com/sa/wall-grass-jeddah/,301,active,12393,12401,شركة تركيب عشب صناعي بجدة,شركة تركيب عشب جداري بجدة,artificial-grass-grdn-jeddah,wall-grass-jeddah,intra-city cannibal; keep wall-grass-jeddah
/sa/artificial-grass-grdn-riyadh/,https://www.rukn-eltatawer.com/sa/wall-grass-riyadh/,301,active,12392,12400,شركة تركيب عشب صناعي بالرياض,شركة تركيب عشب جداري بالرياض,artificial-grass-grdn-riyadh,wall-grass-riyadh,intra-city cannibal; keep wall-grass-riyadh
/sa/artificial-grass-grdn-dammam/,https://www.rukn-eltatawer.com/sa/wall-grass-dammam/,301,active,12396,12404,شركة تركيب عشب صناعي بالدمام,شركة تركيب عشب جداري بالدمام,artificial-grass-grdn-dammam,wall-grass-dammam,intra-city cannibal; keep wall-grass-dammam
/sa/electric-panel-maintenance-dammam/,https://www.rukn-eltatawer.com/sa/electrical-maintenance-dammam/,301,active,12972,11237,شركة صيانة لوحات كهرباء بالدمام,شركة صيانة كهرباء بالدمام,electric-panel-maintenance-dammam,electrical-maintenance-dammam,intra-city cannibal; keep electrical-maintenance-dammam
/sa/electric-panel-maintenance-riyadh/,https://www.rukn-eltatawer.com/sa/electrical-maintenance-riyadh/,301,active,12968,11133,شركة صيانة لوحات كهرباء بالرياض,شركة صيانة كهرباء بالرياض,electric-panel-maintenance-riyadh,electrical-maintenance-riyadh,intra-city cannibal; keep electrical-maintenance-riyadh
/sa/electric-panel-maintenance-mecca/,https://www.rukn-eltatawer.com/sa/electrical-maintenance-mecca/,301,active,12970,11185,شركة صيانة لوحات كهرباء بمكة المكرمة,شركة صيانة كهرباء بمكة المكرمة,electric-panel-maintenance-mecca,electrical-maintenance-mecca,intra-city cannibal; keep electrical-maintenance-mecca
/sa/modern-irrigation-taif/,https://www.rukn-eltatawer.com/sa/automatic-irrigation-taif/,301,active,12382,12390,شركة تركيب شبكات ري حديثة بالطائف,شركة تركيب شبكات ري أوتوماتيكية بالطائف,modern-irrigation-taif,automatic-irrigation-taif,intra-city cannibal; keep automatic-irrigation-taif
/sa/modern-irrigation-mecca/,https://www.rukn-eltatawer.com/sa/automatic-irrigation-mecca/,301,active,12378,12386,شركة تركيب شبكات ري حديثة بمكة المكرمة,شركة تركيب شبكات ري أوتوماتيكية بمكة المكرمة,modern-irrigation-mecca,automatic-irrigation-mecca,intra-city cannibal; keep automatic-irrigation-mecca
